Tarifpunkt,IBNR,Bahnhofstatus,Verbund,Regionen,Gleichstellung zu beachten
Leipzig-Lützschena,12285,NAST,MDV,433,*
Leipzig Markt,12186,NAST,MDV,481,*
Leipzig MDR,12187,NAST,MDV,481,*
Leipzig Messe,12478,NAST,MDV,433,*
Leipzig Milt. Allee,12344,NAST,MDV,1012,*
Leipzig-Miltitz,12355,NAST,MDV,1043,*
Leipzig Mockauer Str,12273,NAST,MDV,433,*
Leipzig-Möckern,12193,NAST,MDV,433,*
Leipzig-Mölkau,12375,NAST,MDV,481,*
Leipzig Nord,12196,NAST,MDV,433,*
Leipzig Olbrichtstr.,12181,NAST,MDV,433,*
Leipzig-Paunsdorf,10208,NAST,MDV,481,*
Leipzig-Plagwitz,10209,NAST,MDV,1012,*
Leipzig-Rückmarsdf.,12817,NAST,MDV,1043,*
Leipzig-Sellerhausen,12983,NAST,MDV,481,*
Leipzig Slevogtstr.,12204,NAST,MDV,433,*
Leipzig-Stötteritz,12194,NAST,MDV,481,*
Leipzig-Thekla,12195,NAST,MDV,433,*
Leipzig Völkersch.,12343,NAST,MDV,481,*
Leipzig-Wahren,12197,NAST,MDV,433,*
Leipzig Werkstätten,11495,NAST,MDV,481,*
Leipzig W-Leuschn-Pl,12202,NAST,MDV,481,*
Leisnig,12198,NAST,MDV,312,
Leißling,12199,NAST,MDV,1038,
Leitstade,3628,NAST,HVV,392,
Lelbach-Rhena,3629,NAST,NVV,161,
Lembeck,3630,NAST,VRR,148,
Lemförde,3632,NAST,VBN,389,
Lemgo,3633,NAST,,85,*
Lemgo-Lüttfeld,3634,NAST,OWL,85,*
Lemmie,3635,NAST,GVH,69,
Lendringsen,3638,NAST,VRL,232,
Lengede-Broistedt,1188,NAST,VRB,84,
Lengefeld-Rauenstein,12201,NAST,VMS,1116,
Lengenfeld(Vogtl),12203,NAST,VVV,403,
Lengenwang,3639,NAST,,59,
Lengerich(Westf),3640,NAST,VGM,458,
Lenglern,3644,NAST,VSN,112,
Lennestadt-Altenhund,532,NAST,VGW,250,
Lennestadt-Grevenbr.,2370,NAST,VGW,250,
Lennestadt-Meggen,3939,NAST,VGW,250,
Lensahn,3649,NAST,SHT,304,
Lenzkirch,3651,NAST,RVF,21,
Leonberg,3652,NAST,VVS,137,
Leopoldshafen,3662,NAST,KVV,255,
Leopoldstal,3655,NAST,OWL,420,
Lermoos,6761,NAST,VVT,79,
Leschede,3656,NAST,,334,
Letmathe,227,AST,VRL,"164,230,231",*
Letmathe Dechenh.,3657,NAST,VRL,231,*
Letschin,12205,NAST,VBB,1034,
Lette(Kr Coesfeld),3658,NAST,VGM,103,
Letter,3659,NAST,GVH,104,
Leubingen,12207,NAST,,1066,
Leubsdorf(Rhein),3660,NAST,VRM,124,
Leubsdorf(Sachs),12208,NAST,VMS,1116,
Leun/Braunfels,1132,NAST,RMV,698,
Leuna Werke Nord,12211,NAST,MDV,1043,
Leuna Werke Süd,12212,NAST,MDV,1043,
Leupoldsdorf,3661,NAST,VGN,145,
Leutenberg,12213,NAST,VMT,1049,
Leuterschach,3663,NAST,,59,
Leutershausen-Wied.,3664,NAST,VGN,109,
Leutesdorf(Rhein),3665,NAST,VRM,124,
Leuthen(Cottbus),12215,NAST,VBB,448,
Leutkirch,336,NAST,BOD,430,
Leverkusen Chempark,832,NAST,VRS,90,*
Leverkusen-Küpper.,3668,NAST,VRS,90,*
Leverkusen-Manfort,3669,NAST,VRS,90,*
Leverkusen Mitte,6713,NAST,VRS,90,*
Leverkusen-Rheindorf,3672,NAST,VRS,90,*
Lich(Oberhess),3673,NAST,RMV,325,
Lichtenberg(Erzgeb),12217,NAST,VMS,333,
Lichtenfels,228,HAST,VGN,"145,356",
Lichtenst.Hartenst.S,12222,NAST,VMS,33,
Lichtenst.Schnell.-S,12220,NAST,VMS,33,
Lichtenstein(Sachs),12223,NAST,VMS,33,
Lichtenstein Gewerbe,12219,NAST,VMS,33,
Lichtentanne(Sachs),12224,NAST,VMS,482,*
Lichtentanne(Thür),12225,NAST,VMT,1049,
Lichtenthal,3676,NAST,WBV,107,
Liebenau(Bz Kassel),3677,NAST,NVV,476,
Liebenthal(Prign),12226,NAST,VBB,1075,
Lieblos,3681,NAST,RMV,336,
Liederbach,3419,NAST,RMV,228,
Liederbach-Süd,3453,NAST,RMV,228,*
Lietzow(Rügen),10210,NAST,,1091,
Limbach(b Homb.Saar),3684,NAST,SVV,386,
Limbach(Vogtl),12231,NAST,VVV,269,
Limburg(Lahn),229,HAST,RMV,"320,51,216,393",*
Limburgerhof,3687,NAST,VRN,422,
Limburg Süd,3680,NAST,RMV,216,*
Limmritz(Sachs),12232,NAST,MDV,60,
Lind(Oberpf),3689,NAST,,418,
Linda(Elster),12233,NAST,VBB,1157,
Lindach,3690,NAST,VRN,254,
Lindau-Aeschach,3692,NAST,BOD,279,*
Lindau-Insel,230,HAST,BOD,"279,412",*
Lindau-Reutin,3693,AST,BOD,"279,412",*
Lindenberg(Allgäu),3695,NAST,BOD,412,
Lindenberg(Mark),12237,NAST,VBB,1065,
Lindenholzhausen,3696,NAST,RMV,51,
Lindern,3697,NAST,AVV,299,
Lindhorst(Schaumb-L),3699,NAST,,25,
Lindow(Mark),12239,NAST,VBB,1358,
Lindwedel,3700,NAST,,104,
Lingen(Ems),3701,NAST,,334,
Lingenfeld,3702,NAST,KVV,262,
Linkenheim,3704,NAST,KVV,255,
Linnich Bhf,3645,NAST,,472,
Linnich-Tetz,3647,NAST,,472,
Linsburg,3705,NAST,,70,
Linz(Rhein),3708,NAST,VRS,124,
Lippstadt,571,AST,VRL,"160,215",*
Lispenhausen,3711,NAST,NVV,294,
Lissendorf,3713,NAST,VRT,450,
Listerscheid,3715,NAST,VGW,31,
Löbau(Sachs),10212,AST,VON,"1044,442",
Lobstädt,12241,NAST,MDV,481,
Löcherberg,3721,NAST,TGO,681,
Lochham,3720,NAST,MVV,91,*
Löcknitz,10213,NAST,,1233,
Lödingsen,3722,NAST,VSN,112,
Löf,3723,NAST,VRM,296,
Löffingen,3724,NAST,RVF,21,
Lohgarten-Roth,3734,NAST,VGN,6,
Lohhof,3735,NAST,MVV,264,
Lohmen,12249,NAST,VVO,1096,
Löhnberg,3726,NAST,RMV,698,
Lohne(Oldb),3738,NAST,,42,
Löhne(Westf),233,AST,OWL,"73,75,175",
Lohnweiler,3739,NAST,VRN,15,
Lohr Bahnhof,3740,NAST,VVM,118,
Lohsa,12250,NAST,VVO,447,
Loiching,3745,NAST,,265,
Loitsch-Hohenleuben,12252,NAST,,268,
Lollar,234,AST,RMV,"209,674",
Lonsee,3748,NAST,DIN,427,
Loppenhausen,3749,NAST,,413,
Lorch(Rhein),3751,NAST,RMV,394,
Lorch(Württ),3752,NAST,OAM,553,
Lorchhausen,3753,NAST,RMV,394,
Lörrach-Bromb./Hau,1191,NAST,RVL,26,*
Lörrach Dammstraße,3736,NAST,RVL,26,*
Lörrach-Haagen/Mess,2489,NAST,RVL,26,*
Lörrach Hbf,3729,NAST,RVL,26,*
Lörrach Museum/Burg,3737,NAST,RVL,26,*
Lörrach Schw.waldst,3743,NAST,RVL,26,*
Lörrach-Stetten,3730,NAST,RVL,26,*
Lorsbach,3754,NAST,RMV,51,
Lorsch,3755,NAST,VRN,444,
Lörzenbach-Fahrenb.,3731,NAST,VRN,74,
Loßburg-Rodt,3758,NAST,VGF,206,
Lößnitz ob Bf,12245,NAST,VMS,33,
Lößnitz unt Bf,12246,NAST,VMS,33,
Lottschesee,12255,NAST,VBB,1034,
Lövenich,3732,NAST,VRS,191,*
Löwenberg(Mark),10214,AST,VBB,"1121,1034,316,1358",
Löwenberg Dorf,12248,NAST,VBB,1358,
Löwental,3733,NAST,,80,*
Loxstedt,3760,NAST,VBN,126,
Lübbecke(Westf),3772,NAST,,368,
Lübben(Spreewald),10217,AST,VBB,"378,1070",
Lübbenau(Spreewald),10220,NAST,VBB,378,
Lübberstedt,3773,NAST,VBN,126,
Lübeck Dän.IKEA,3786,NAST,SHT,306,
Lübeck Flughafen,3781,NAST,SHT,132,
Lübeck Hbf,237,HAST,SHT,"304,496,305,306,132",*
Lübeck Hochschulsta,3785,NAST,SHT,132,*
Lübeck-Kücknitz,3776,NAST,SHT,306,
Lübeck-Moisling,3775,NAST,HVV,496,
Lübeck St Jürgen,3774,NAST,SHT,305,*
Lübeck-Travem.Hafen,3777,NAST,SHT,306,*
Lübeck-Travem.Skan.,6704,NAST,SHT,306,*
Lübeck-Travem.Str.,3778,NAST,SHT,306,*
Lüblow(Meckl),12262,NAST,,1217,
Lubolz,12257,NAST,VBB,1070,
Lübs(Magdeburg),12263,NAST,MAR,94,
Lübstorf,12264,NAST,,1342,
Luckaitztal,12897,NAST,VBB,448,
Luckau-Uckro,10353,NAST,VBB,448,
Luckenau,12259,NAST,MDV,342,
Luckenwalde,12260,NAST,VBB,1173,
Lüdenscheid,3782,NAST,VRL,90,
Luderbach,3761,NAST,VRI,93,
Lüdersdorf(Meckl),12268,NAST,,1002,
Ludersheim,3762,NAST,VGN,314,
Lüdinghausen,3783,NAST,VGM,151,
Ludwigsau-Friedlos,2103,NAST,NVV,297,
Ludwigsburg,235,AST,VVS,"137,540,541,239",*
Ludwigschorgast,3763,NAST,VGN,145,
Ludwigsfelde,10215,AST,VBB,"1173,1118",
Ludwigsfelde-Struves,12253,NAST,VBB,1118,
Ludwigshafen(Bodens),3764,NAST,VHB,485,
Ludwigshafen(Rh)Hbf,236,AST,VRN,"133,453,422,487",*
Ludwigshafen BASF S,2056,NAST,VRN,453,*
Ludwigshafen Mitte,3759,NAST,VRN,487,*
Ludwigshafen-Mundenh,3765,NAST,VRN,422,*
Ludwigshafen-Oggersh,3766,NAST,VRN,133,*
Ludwigshafen-Rheing.,3767,NAST,VRN,422,*
Ludwigshöhe,3768,NAST,VGN,314,
Ludwigshütte,3769,NAST,RMV,202,
Ludwigslust,10216,AST,,"1217,1224",
Ludwigsstadt,3770,NAST,VGN,145,
Ludwigsthal,3771,NAST,WBV,107,
Lügde,3784,NAST,OWL,38,
Luhe,3794,NAST,,418,
Luhe-Wildenau,3795,NAST,,418,
Luisenthal(Saar),3796,NAST,SVV,388,
Luitpoldhütte,3797,NAST,VGN,418,
Lunden,3798,NAST,SHT,24,
Lüneburg,238,HAST,HVV,"392,43,379,44",*
Lünen Hbf,239,AST,VRL,"178,151,460",
Lünen-Preußen,4883,NAST,VRL,178,
Lünern,3788,NAST,VRL,155,
Lunestedt,3799,NAST,VBN,126,
Lüssow(Meckl),12269,NAST,VVW,1340,
Luth. Wittenberg Alt,12280,NAST,MDV,1111,
Luth. Wittenberg Hbf,10222,HAST,MDV,"1090,1156,1111,1160",
Luth. Wittenberg-Lab,13275,NAST,MDV,1160,
Luth. Wittenberg-Pie,12282,NAST,MDV,1111,
Lutherstadt Eisleben,12279,NAST,,1072,
Lutten,3800,NAST,,42,
Lütter,3790,NAST,RMV,16,
Lutum,3804,NAST,VGM,105,
Lützel,3791,NAST,VGW,218,
Machern(Sachs),12284,NAST,MDV,1133,
Magdeburg-Buckau,13456,NAST,MAR,352,*
Magdeburg-Eichenw,12289,NAST,MAR,94,*
Magdeburg Hasselpl,13457,NAST,MAR,352,*
Magdeburg Hbf,10224,HAST,MAR,"352,1100,94",*
Magdeburg Herrenkrug,13455,NAST,MAR,94,*
Magdeburg-Neustadt,10226,NAST,MAR,94,*
Magdeburg-Rothensee,10086,AST,MAR,"1025,1179,94",*
Magdeburg-Salbke,12291,NAST,MAR,352,*
Magdeburg SKET Ipark,13485,NAST,MAR,352,*
Magdeburg-Sudenburg,12292,NAST,MAR,1100,*
Magdeburg Südost,12287,NAST,MAR,352,*
Mägerkingen,3805,NAST,NAL,399,
Magstadt,3807,NAST,VVS,470,
Mahlow,11551,NAST,VBB,1118,
Mahlwinkel,12295,NAST,MAR,1179,
Maichingen,3808,NAST,VVS,470,*
Maichingen Nord,3834,NAST,VVS,470,*
Maikammer-Kirrweiler,3809,NAST,VRN,504,
Mainaschaff,3810,NAST,VAB,456,
Mainbernheim,6587,NAST,VVM,57,
Mainhausen Zellhaus.,6646,NAST,RMV,424,
Mainleus,3813,NAST,VGN,145,
Mainroth,3814,NAST,VGN,145,
Maintal Ost,2877,NAST,RMV,98,
Maintal West,996,NAST,RMV,98,
Mainz-Bischofsheim,241,AST,RMV,"98,51,71,414",
Mainz-Gonsenheim,3817,NAST,RMV,156,*
Mainz-Gustavsburg,3818,NAST,RMV,71,*
Mainz Hbf,240,HAST,RMV,"51,71,88,156",*
Mainz-Kastel,615,NAST,RMV,51,*
Mainz-Laubenheim,3819,NAST,RMV,71,*
Mainz-Marienborn,3820,NAST,RMV,156,*
Mainz-Mombach,3821,NAST,RMV,88,*
Mainz Nord,3815,NAST,RMV,51,*
Mainz Röm.Theater,3816,NAST,RMV,71,*
Mainz Waggonfabrik,6136,NAST,RMV,156,*
Maisach,3824,NAST,MVV,310,
Malchin,10227,NAST,,395,
Malching(Oberbay),3828,NAST,MVV,310,
Mallersdorf,3830,NAST,,61,
Malmsheim,3831,NAST,VVS,3,
Malsch,3832,NAST,KVV,347,
Malsch Süd,3833,NAST,KVV,347,
Malsfeld,243,AST,NVV,"195,294",
Malsfeld-Beiseförth,859,NAST,NVV,294,
Mammendorf(MVV),4204,NAST,MVV,310,
Mandern,3836,NAST,NVV,217,
Manebach,12299,NAST,,1087,
Manndorf,3839,NAST,VGN,356,
Mannheim ARENA/Maim.,3841,NAST,VRN,74,*
Mannheim-Friedrich.S,3842,NAST,VRN,74,*
Mannheim Handelshaf,6508,NAST,VRN,444,*
Mannheim Hbf,244,HAST,VRN,"487,74,444",*
Mannheim-Käfertal,3843,NAST,VRN,444,*
Mannheim-Luzenberg,6509,NAST,VRN,444,*
Mannheim-Neckarau,3844,NAST,VRN,74,*
Mannheim-Neckarstadt,6511,NAST,VRN,444,*
Mannheim-Rheinau,3845,NAST,VRN,74,*
Mannheim-Seckenheim,3847,NAST,VRN,74,*
Mannheim-Waldhof,3848,NAST,VRN,444,*
Marbach(b Münsing.),3861,NAST,NAL,399,
Marbach(Neckar),3853,NAST,VVS,239,
Marbach-Grafeneck,3851,NAST,NAL,399,
Marbach Ost(VS),3857,NAST,VSB,206,*
Marbach West(VS),3854,NAST,VSB,206,*
Marbeck-Heiden,3855,NAST,VGM,144,
Marburg(Lahn),337,HAST,RMV,674,*
Marburg Süd,3856,NAST,RMV,674,*
Margertshausen,3858,NAST,AVV,413,
Maria Rain,3859,NAST,,79,
Marienau,6104,NAST,,76,
Marienborn,12302,NAST,MAR,1101,
Marienhafe,3866,NAST,,431,
Marienheide,3869,NAST,VRS,90,
Markdorf(Baden),3871,NAST,BOD,485,
Marke,12305,NAST,MDV,1008,
Markelfingen,3872,NAST,VHB,485,
Markelsheim,3873,NAST,VRN,346,*
Markgröningen,3874,NAST,VVS,540,
Markkleeberg,12308,NAST,MDV,481,
Markkleeberg-Gaschwi,11598,NAST,MDV,1017,
Markkleeberg-Großst,10228,AST,MDV,"481,1012,1017",
Markkleeberg Nord,12304,NAST,MDV,481,*
Markranstädt,12311,NAST,MDV,1043,
Marksuhl,12312,NAST,,1085,
Markt Berolzheim,3875,NAST,VGN,6,
Markt Bibart,3876,NAST,VVM,57,
Marktbreit,3881,NAST,VGN,92,
Markt Erlbach,3878,NAST,VGN,57,
Markt Indersdorf,3072,NAST,MVV,264,
Marktl,3883,NAST,,309,
Marktleuthen,3884,NAST,VGN,145,
Marktoberdorf,3885,NAST,,59,*
Marktoberdorf Schule,3877,NAST,,59,*
Marktoffingen,3886,NAST,VGN,2,
Marktredwitz,247,HAST,VGN,"113,145,50,153,139",
Marktschorgast,3887,NAST,VGN,145,
Markt Schwaben,3879,NAST,MVV,264,
Markt Wald,3880,NAST,AVV,413,
Marl-Hamm,3890,NAST,VRR,159,
Marlishausen,12314,NAST,VMT,484,
Marl Mitte,3888,NAST,VRR,159,
Marl-Sinsen,3891,NAST,VRR,348,
Marquardt,12315,NAST,VBB,1031,
Marquartstein,3895,NAST,,318,
Marsberg,3896,NAST,VRL,128,
Marstetten-Aitrach,3897,NAST,BOD,430,
Martensdorf,12316,NAST,,8,
Martinlamitz,3898,NAST,VGN,145,
Martinroda,12317,NAST,,1087,
Martinstein,3899,NAST,RNN,437,
Martinszell(Allgäu),3901,NAST,,412,
Marxgrün,3903,NAST,VGN,145,
Marxzell,3904,NAST,KVV,255,
Marzling,3905,NAST,MVV,264,
Maschen,3906,NAST,HVV,43,*
Massen,3909,NAST,VRR,691,
Massing,3910,NAST,VRI,93,
Matzenbach,1727,NAST,,194,
Matzing,3912,NAST,,49,
Maubach,3913,NAST,VVS,554,
Mauer(b Heidelberg),3915,NAST,VRN,131,
Maulbronn Stadt,3918,NAST,VPE,190,
Maulbronn West,3914,NAST,VPE,190,
Maulburg,3920,NAST,RVL,26,
Mausheim,3921,NAST,,314,
Maxau,3917,NAST,KVV,255,*
Maxdorf,3908,NAST,VRN,133,
Maxhütte-Haidhof,3922,NAST,,127,
Maximiliansau Eisenb,3923,NAST,KVV,255,*
Maximiliansau-Im Rü,3911,NAST,KVV,36,*
Maximiliansau West,3919,NAST,KVV,255,*
Mayen Ost,3940,NAST,,222,*
Mayen West,3924,NAST,VRM,222,*
Mayschoß,3926,NAST,VRM,32,
Mechernich,3927,NAST,VRS,450,
Mechterstädt,12320,NAST,VMT,327,
Meckelfeld,3929,NAST,HVV,43,*
Meckenbeuren,3930,NAST,BOD,80,
Meckenheim(Bz Köln),3931,NAST,VRS,443,
Meckenheim Ind.Park,3928,NAST,VRS,443,
Meckenheim Kottenfo.,3414,NAST,VRS,443,
Meckesheim,3932,NAST,VRN,131,
Medewitz(Mark),12322,NAST,VBB,1111,
Meeder,3938,NAST,VGN,357,
Meerane,12323,NAST,VMS,477,
Meerbusch-Osterath,4694,NAST,VRR,693,
Mehlmeisel,3942,NAST,VGN,113,
Mehltheuer,10229,AST,VVV,"480,268",
Mehrhoog,3943,NAST,VRR,354,
Meine,3947,NAST,VRB,77,
Meinersdorf(Erzgeb),12324,NAST,VMS,33,
Meinersen,3949,NAST,VRB,87,
Meinerzhagen,3950,NAST,VRL,90,
Meiningen,10230,NAST,,5,
Meinsdorf,10231,NAST,MDV,1111,
Meißen,12326,NAST,VVO,479,*
Meißen Altstadt,12318,NAST,VVO,479,*
Meißen Triebischtal,12327,NAST,VVO,479,*
Meitingen,3952,NAST,AVV,413,
Meitzendorf,12328,NAST,MAR,1025,
Melbach,3953,NAST,RMV,325,
Melchow,12329,NAST,VBB,1034,
Meldorf,3954,NAST,SHT,493,
Melkendorf,3955,NAST,VGN,145,
Melle,3956,NAST,NVV,72,
Mellenbach-Glasbach,12330,NAST,VMT,1052,
Mellendorf,3957,NAST,GVH,104,
Mellingen(Thür),12332,NAST,VMT,1306,
Mellrichstadt Bf,3959,AST,,"5,343,408",
Melsdorf,3960,NAST,SHT,288,*
Melsungen,3961,NAST,NVV,195,
Melsungen Bartenwbr,3971,NAST,NVV,195,
Melsungen-Röhrenfu.,5125,NAST,NVV,195,
Melsungen Schwarzen.,3962,NAST,NVV,195,
Memmelsdorf(Oberfr),3963,NAST,VGN,491,
Memmingen,249,HAST,,"409,413,62,430",
Menden(Rheinl),3966,NAST,VRS,124,
Menden(Sauerland),3967,NAST,VRL,232,
Menden(Sauerland)S,3965,NAST,VRL,232,
Mendig,4393,NAST,,222,
Mendorf,3968,NAST,,12,
Mengen,3969,NAST,NAL,362,
Mengeringhausen,3970,NAST,NVV,476,
Mengersgereuth-H,12333,NAST,,1312,
Mengersgereuth-H Ost,12334,NAST,,1312,
Mengersreuth,3972,NAST,,425,
Menzingen(Baden),3976,NAST,KVV,108,
Meppen,3978,NAST,,334,
Merching,3979,NAST,AVV,310,
Merchweiler,3980,NAST,SVV,158,
Mering,3982,NAST,AVV,310,
Mering-St Afra,4008,NAST,AVV,310,
Merklingen - S. Alb,3983,NAST,DIN,282,
Mersch(Westf),3986,NAST,VGM,177,
Merseburg Bergmannsr,12339,NAST,MDV,1071,
Merseburg Hbf,10232,AST,MDV,"1041,1043,1071",
Merten(Sieg),3987,NAST,VRS,270,
Mertesheim,3988,NAST,VRN,13,
Mertingen Bahnhof,3989,NAST,AVV,413,
Merzenich,3990,NAST,VRS,300,
Merzig(Saar),3992,NAST,SVV,186,
Merzig-Stadtmitte,3991,NAST,SVV,186,
Meschede,3993,NAST,VRL,260,
Mesch Neue Mühle,3450,NAST,OWL,368,
Messel,3996,NAST,RMV,254,
Messinghausen,3998,NAST,VRL,128,
Meßkirch,3999,NAST,,485,
Metelen Land,4001,NAST,VGM,102,
Mettenheim,4003,NAST,VRN,71,
Mettlach,4004,NAST,SVV,186,
Mettmann Stadtwald,4005,NAST,VRR,214,
Mettmann Zentrum,4007,NAST,VRR,214,
Metzingen(Württ),4009,NAST,NAL,282,
Metzingen-Neuhausen,4290,NAST,NAL,282,
Meuselbach-Schwarzm,12346,NAST,VMT,1052,
Michelau(Oberfr),4011,NAST,VGN,145,
Michelaubrück,4013,NAST,,343,
Michelbach(Unterfr),4015,NAST,VAB,455,*
Michelbach Herrnm,4016,NAST,VAB,455,*
Michelstadt,4017,NAST,RMV,254,
Michendorf,10233,AST,VBB,"1111,1118",
Miesenbach,4022,NAST,,194,
Miesenheim,4020,NAST,,222,
Mieste,12351,NAST,,1030,
Miesterhorst,12352,NAST,,1030,
Mietenkam,4021,NAST,,318,
Millingen(b Rees),4024,NAST,VRR,354,
Millingen(b Rheinb),4023,NAST,VRR,166,
Milmersdorf,12353,NAST,VBB,316,
Miltach,4026,NAST,VLC,407,
Miltenberg,640,NAST,VAB,157,*
Miltern,12354,NAST,,1180,
Miltzow,12358,NAST,,1003,
Mimberg,4028,NAST,VGN,314,
Mindelaltheim,4030,NAST,,413,
Mindelheim,338,NAST,,413,
Minden(Westf),252,HAST,OWL,"167,25,175",*
Mirskofen,4034,NAST,,61,
Mistelbach(Oberfr),4035,NAST,VGN,423,
Mistelgau,4036,NAST,VGN,423,
Mistorf,12362,NAST,VVW,1340,
Mittel Gründau,4037,NAST,RMV,336,
Mittelherwigsdorf,10234,NAST,VON,298,
Mittelndorf,12365,NAST,VVO,1096,
Mittelneufnach,4038,NAST,AVV,413,
Mitteloelsnitz,12366,NAST,VMS,33,
Mittelschmalkalden,12367,NAST,,45,
Mittelsinn,4040,NAST,VVM,343,
Mittenwald,4043,NAST,,120,
Mittenwald(Gr),4044,NAST,,120,
Mittergars,4046,NAST,,264,
Mitterteich,4047,NAST,VGN,153,
Mittweida,12369,NAST,VMS,60,
Mixdorf,12370,NAST,VBB,1065,
Mochenwangen,4049,NAST,BOD,80,
Möckmühl,4050,NAST,HNV,278,
Mockrehna,12371,NAST,MDV,1089,
Moers,644,NAST,VRR,166,*
Mögelin,12373,NAST,VBB,1123,
Mögglingen(Gmünd),4053,NAST,OAM,402,
Möglingen(b Ludwig),4054,NAST,VVS,540,
Möhringen Bahnhof,4068,NAST,TUT,201,*
Möhringen Rathaus,4067,NAST,TUT,201,*
Moidentin,12384,NAST,,1212,
Mölln(Lauenb),4057,NAST,HVV,132,
Mölln(Meckl),12376,NAST,,395,
Mömbris-Mensenges,4059,NAST,VAB,455,*
Monbach-Neuhausen,4077,NAST,VPE,524,
Mönchengladbach-Gen,4061,NAST,VRR,110,*
Mönchengladbach Hbf,253,HAST,VRR,"694,247",*
Mönchengladbach-Lü,1745,NAST,VRR,247,*
Mönchengladbach-Rhd,4063,NAST,VRR,110,*
Mönchhagen,12377,NAST,VVW,8,
Mönchröden,4064,NAST,VGN,360,
Monreal,4078,NAST,,222,
Monsheim,663,NAST,VRN,11,
Montabaur,667,AST,,"320,321,216",
Monzingen,4080,NAST,RNN,437,
Moosbach,399,NAST,,153,
Moosburg,4084,NAST,MVV,264,
Mörfelden,4065,NAST,RMV,98,
Möringen(Altm),12378,NAST,,1030,
Mörlenbach,4066,NAST,VRN,74,
Morlesau,4090,NAST,,343,
Morsum,4093,NAST,SHT,667,
Mosbach(Baden),4094,NAST,VRN,465,
Mosbach-Neckarelz,264,AST,VRN,"465,277,254",
Mosbach West,4095,NAST,VRN,465,
Mosel,12388,NAST,VMS,477,*
Moselkern,4096,NAST,VRM,296,
Möser,12381,NAST,MAR,94,
Mössingen,4070,NAST,NAL,399,
Möttingen,4071,NAST,,2,
Mücheln(Geiselt) St,12392,NAST,MDV,1071,
Mücheln(Geiseltal),12390,NAST,MDV,1071,
Mücka,12391,NAST,VON,447,
Mücke(Hess),4100,NAST,RMV,329,
Müden(Mosel),4101,NAST,VRM,296,
Mudersbach,4099,NAST,VRM,272,
Muggensturm,4178,NAST,KVV,347,
Muggensturm Badesee,4192,NAST,KVV,347,
Mühlacker,339,NAST,VPE,190,
Mühlacker Rößlesw,4103,NAST,VPE,190,
Mühlanger,12393,NAST,MDV,1160,
Mühlbach(Pirna),12394,NAST,VVO,1113,
Mühldorf(Oberbay),258,AST,,"49,309,264,93",
Mühlen(b Horb),4104,NAST,VGF,399,
Mühlen(Oldb),4105,NAST,,42,
Mühlenbeck-M.mühle,11552,NAST,VBB,1034,
Mühlhausen(b Engen),4107,NAST,VHB,200,
Mühlhausen(Sulz),4108,NAST,VGN,314,
Mühlhausen(Thür),10235,NAST,,1088,
Mühlheim(b Tuttl),4111,NAST,TUT,399,
Mühlheim(M)-Dietesh,4110,NAST,RMV,98,
Mühlheim(Main),4112,NAST,RMV,98,
Mühlhofen Ort,4113,NAST,BOD,485,
Mühlstetten,4115,NAST,VGN,6,
Mühltal,4350,NAST,RMV,254,
Muhr a See,534,NAST,VGN,6,
Mühringen,4069,NAST,NAD,399,
Mukran West,12406,NAST,,1091,
Mulda(Sachs),12407,NAST,VMS,333,
Muldenberg-Floßpl.,10237,NAST,VVV,403,
Muldenhütten,12408,NAST,VMS,426,
Muldenstein,12409,NAST,MDV,1090,
Mülheim(Ruhr)Hbf,259,AST,VRR,"196,187",*
Mülheim(Ruhr)Styr.,687,NAST,VRR,196,*
Mülheim(Ruhr)West,4122,NAST,VRR,196,*
Mülheim-Kärlich,6035,NAST,VRM,222,
Müllheim(Baden),4124,NAST,RVF,26,
Müllrose,12400,NAST,VBB,1065,
Mulsum,4180,NAST,VBN,34,
Münchberg,4126,NAST,VGN,145,
Müncheberg(Mark),10236,NAST,VBB,1034,
Münchehof(Harz),4127,NAST,VRB,338,
München(Bad Berka),12401,NAST,VMT,1305,
München-Allach,4140,NAST,MVV,264,*
München-Aubing,4141,NAST,MVV,650,*
München-Berg a Laim,4142,NAST,MVV,264,*
München-Daglfing,4143,NAST,MVV,264,*
München Donnersb.,4128,NAST,MVV,264,*
München-Englschalk.,4144,NAST,MVV,264,*
München-Fasanerie,4145,NAST,MVV,264,*
München-Fasangarten,4146,NAST,MVV,264,*
München-Feldmoching,4147,NAST,MVV,264,*
München Flug Besuch,4167,NAST,MVV,264,*
München Flughafen T,4168,NAST,MVV,264,*
München-Freiham,4181,NAST,MVV,91,*
München-Giesing,4148,NAST,MVV,264,*
München Hackerbr.,4129,NAST,MVV,264,*
München Harras,4130,NAST,MVV,264,*
München Hbf,261,HAST,MVV,"264,317,461",*
München Heimeranpl.,5419,NAST,MVV,264,*
München Hirschgart.,4179,NAST,MVV,264,*
München Isartor,4131,NAST,MVV,317,*
München-Johannesk.,4149,NAST,MVV,264,*
München-Karlsfeld,4150,NAST,MVV,264,*
München Karlsplatz,4132,NAST,MVV,317,*
München-Laim,4151,NAST,MVV,264,*
München-Langwied,4152,NAST,MVV,310,*
München Leienfels.,4133,NAST,MVV,650,*
München Leuchtenb.,4134,NAST,MVV,264,*
München-Lochhausen,4153,NAST,MVV,310,*
München Marienplatz,4135,NAST,MVV,317,*
