Sammelbezeichnung,Typ,ab km,preisbildender Tarifpunkt,IBNR,gleichgestellter Tarifpunkt,IBNR
Aachen,CITY,101,Aachen Hbf,1,Aachen Hbf,1
Aachen,CITY,101,Aachen Hbf,1,Aachen-Rothe Erde,406
Aachen,CITY,101,Aachen Hbf,1,Aachen Schanz,405
Aachen,CITY,101,Aachen Hbf,1,Aachen West,404
Aachen,CITY,101,Aachen Hbf,1,Eilendorf,1712
Aachen,TARIF,31,Aachen Hbf,1,Aachen Hbf,1
Aachen,TARIF,31,Aachen Hbf,1,Aachen-Rothe Erde,406
Aachen,TARIF,31,Aachen Hbf,1,Aachen Schanz,405
Aachen,TARIF,31,Aachen Hbf,1,Aachen West,404
Aalen,CITY,101,Aalen Hbf,2,Aalen Hbf,2
Aalen,CITY,101,Aalen Hbf,2,Goldshöfe,380
Aalen,CITY,101,Aalen Hbf,2,Hofen(b Aalen),2930
Aalen,CITY,101,Aalen Hbf,2,Unterkochen,5997
Aalen,CITY,101,Aalen Hbf,2,Wasseralfingen,6217
Ahrweiler,TARIF,1,Ahrweiler,448,Ahrweiler,448
Ahrweiler,TARIF,1,Ahrweiler,448,Ahrweiler Markt,449
Alzenau,TARIF,51,Alzenau(Unterfr),531,Alzenau(Unterfr),531
Alzenau,TARIF,51,Alzenau(Unterfr),531,Alzenau Burg,535
Alzenau,TARIF,51,Alzenau(Unterfr),531,Alzenau Nord,529
Alzenau,TARIF,51,Alzenau(Unterfr),531,Kälberau,3139
Alzenau,TARIF,51,Alzenau(Unterfr),531,Michelbach(Unterfr),4015
Annaberg-Buchholz,TARIF,71,Annaberg-Buchh u Bf,11047,Annaberg-Buchholz M,11045
Annaberg-Buchholz,TARIF,71,Annaberg-Buchh u Bf,11047,Annaberg-Buchholz S,10005
Annaberg-Buchholz,TARIF,71,Annaberg-Buchh u Bf,11047,Annaberg-Buchh u Bf,11047
Annweiler,TARIF,51,Annweiler am Trifels,582,Annweiler am Trifels,582
Annweiler,TARIF,51,Annweiler am Trifels,582,Annweiler-Sarnstall,5257
Arnstadt,TARIF,31,Arnstadt Hbf,10007,Arnstadt Hbf,10007
Arnstadt,TARIF,31,Arnstadt Hbf,10007,Arnstadt Süd,11055
Aschaffenburg,CITY,101,Aschaffenburg Hbf,10,Aschaffenburg Hbf,10
Aschaffenburg,CITY,101,Aschaffenburg Hbf,10,Aschaffenburg Hochs.,618
Aschaffenburg,CITY,101,Aschaffenburg Hbf,10,Aschaffenburg Süd,619
Aschaffenburg,TARIF,51,Aschaffenburg Hbf,10,Aschaffenburg Hbf,10
Aschaffenburg,TARIF,51,Aschaffenburg Hbf,10,Aschaffenburg Hochs.,618
Aschaffenburg,TARIF,51,Aschaffenburg Hbf,10,Aschaffenburg Süd,619
Aschaffenburg,TARIF,51,Aschaffenburg Hbf,10,Obernau,4558
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg Haunstett.,658
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg Hbf,13
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg-Hochzoll,661
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg Messe,659
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg Morellstr.,660
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg-Oberhausen,662
Augsburg,CITY,101,Augsburg Hbf,13,Friedberg(Augsburg),2099
Augsburg,CITY,101,Augsburg Hbf,13,Gersthofen,2256
Augsburg,CITY,101,Augsburg Hbf,13,Inningen,3079
Augsburg,CITY,101,Augsburg Hbf,13,Neusäß,4318
Augsburg,CITY,101,Augsburg Hbf,13,Westheim(Schwab),6378
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg Haunstett.,658
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg Hbf,13
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg-Hochzoll,661
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg Messe,659
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg Morellstr.,660
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg-Oberhausen,662
Bad Brückenau,TARIF,71,Bad Brückenau Stbad,1210,Bad Brückenau,1211
Bad Brückenau,TARIF,71,Bad Brückenau Stbad,1210,Bad Brückenau Stbad,1210
Baden-Baden,CITY,101,Baden-Baden,774,Baden-Baden,774
Baden-Baden,CITY,101,Baden-Baden,774,Baden-Baden Haueneb,771
Baden-Baden,CITY,101,Baden-Baden,774,Baden-Baden Rebland,775
Baden-Baden,CITY,101,Baden-Baden,774,Sinzheim,5587
Baden-Baden,CITY,101,Baden-Baden,774,Sinzheim Nord,5588
Bad Homburg,CITY,101,Bad Homburg,712,Bad Homburg,712
Bad Mergentheim,TARIF,51,Bad Mergentheim,724,Bad Mergentheim,724
Bad Mergentheim,TARIF,51,Bad Mergentheim,724,Edelfingen,1660
Bad Mergentheim,TARIF,51,Bad Mergentheim,724,Igersheim,3045
Bad Mergentheim,TARIF,51,Bad Mergentheim,724,Markelsheim,3873
Bad Urach,TARIF,1,Bad Urach,6029,Bad Urach,6029
Bad Urach,TARIF,1,Bad Urach,6029,Bad Urach Eklinik,6027
Bad Urach,TARIF,1,Bad Urach,6029,Bad Urach Wasserfall,6028
Bad Wildbad,TARIF,1,Bad Wildbad Bf,6431,Bad Wildbad Bf,6431
Bad Wildbad,TARIF,1,Bad Wildbad Bf,6431,Bad Wildbad Kurpark,6435
Bad Wildbad,TARIF,1,Bad Wildbad Bf,6431,Bad Wildbad Nord,6434
Bad Wildbad,TARIF,1,Bad Wildbad Bf,6431,Bad Wildbad Uhlandpl,6439
Bamberg,CITY,101,Bamberg,25,Bamberg,25
Bayreuth,CITY,101,Bayreuth Hbf,28,Bayreuth Hbf,28
Bayreuth,CITY,101,Bayreuth Hbf,28,Bayreuth-St Georgen,833
Bayreuth,CITY,101,Bayreuth Hbf,28,Friedrichsthal(Bayr),2118
Bayreuth,CITY,101,Bayreuth Hbf,28,Laineck,3495
Bellheim,TARIF,1,Bellheim Bf,863,Bellheim Bf,863
Bellheim,TARIF,1,Bellheim Bf,863,Bellheim Mühlbuckel,861
Bergisch Gladb.,CITY,101,Bergisch Gladbach,899,Bergisch Gladbach,899
Bergisch Gladb.,CITY,101,Bergisch Gladbach,899,Duckterath,1566
Berlin,CITY,101,Berlin Friedrichstr,10038,Ahrensfelde,11003
Berlin,CITY,101,Berlin Friedrichstr,10038,Albrechtshof,11008
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Adlershof,11227
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Alexanderpl.,11155
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Altglienicke,11229
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Alt-Reinick.,11437
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Anhalter Bf,11128
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Attilastraße,11233
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Baumschulenw,11120
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Bbf Rummelsbg,11235
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Bellevue,11157
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Beusselstr.,11129
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Biesdorf,11237
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Blankenburg,11124
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Bornholm.Str,11239
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Botanischer G,11240
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Brandenbg.Tor,11193
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Buch,11241
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Buckower Ch.,11243
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Bundesplatz,11130
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Charlottenbg.,10403
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Eichborndamm,11244
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Feuerbachstr.,11249
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Frankfurter A,11134
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Friedenau,11259
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Friedrfel.Ost,11262
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Friedrichshg.,11266
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Friedrichstr,10038
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Frohnau,11268
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Gehrenseestr.,11273
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Gesundbrunnen,11102
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Greifswald.St,11135
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Grünau,11274
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Grünbg.allee,11275
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Grunewald,11276
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Hackescher M.,11158
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Halensee,11204
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Hbf,11160
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Heerstraße,11279
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Heidelberg.Pl,11136
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Heiligensee,11280
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Hermannstr.,11137
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Hermsdorf,11287
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Hirschgarten,11289
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Hohenschönh.,11901
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Hohenzollernd,11145
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Humboldthain,11147
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Innsbrucker P,11148
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Jannowitzbr.,11159
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Johannisthal,11234
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Jul.-Leber-Br,11092
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Jungfernheide,11167
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Karlshorst,10035
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Karow,11046
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Kaulsdorf,11291
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin K-B.-N.klinik,11295
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Kölln.Heide,11313
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Köpenick,11332
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Landsberger A,11151
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Lankwitz,11333
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Lichtenberg,10036
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Lichtenrade,11337
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Lichterf.Ost,11041
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Lichterf.Süd,11156
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Lichterf.West,11338
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Mahlsdorf,11343
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Marienfelde,11345
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Marzahn,11347
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Mehrow.Allee,11348
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Messe N/ZOB,11166
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin MesseS(Eichk),11350
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Mexikoplatz,11353
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Neukölln,11207
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Nikolassee,11359
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Nöldnerplatz,11161
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Nordbahnhof,11174
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Oberspree,11365
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Olympiastad.,11367
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Oranienb.Str.,11175
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Osdorfer Str.,11369
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Ostbahnhof,10255
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Ostkreuz,11162
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Pankow,11372
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Pankow-Hein.,11374
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Pichelsberg,11375
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Plänterwald,11379
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Poelchaustr.,11391
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Potsdamer Pl,11118
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Prenzlauer Al,11180
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Priesterweg,11394
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Rahnsdorf,11410
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Rath.Steglitz,11432
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Rummelsburg,11441
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin R-Wallenbg-St,11443
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Savignyplatz,11163
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Schichauweg,11444
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Schlachtensee,11445
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Schöneberg,11109
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Schöneweide,10041
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Schönh.Allee,11182
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Schönholz,11448
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Schulzendorf,11452
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Sonnenallee,11186
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Spandau,10404
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Spindlersfeld,11457
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Springpfuhl,11459
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Staaken,13021
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Storkower Str,11192
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Stresow,11461
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Südende,11463
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Südkreuz,11113
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Sundgauer Str,11467
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Tegel,11475
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Tempelhof,11217
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Tiergarten,11164
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Treptower Pk,11117
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Waidmannslust,11478
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Wannsee,10405
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Warschauer St,11165
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Wartenberg,11479
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Wedding,11220
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Westend,11196
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Westhafen,11197
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Westkreuz,11108
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Wilhelmshagen,11485
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Wilhelmsruh,11498
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Witten.(WhrD),11499
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Wollankstr,11501
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Wuhletal,11504
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Wuhlheide,11511
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Yorckstraße,11198
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin-Zehlendorf,11514
Berlin,CITY,101,Berlin Friedrichstr,10038,Berlin Zoolg. Garten,10406
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Alexanderpl.,11155
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Anhalter Bf,11128
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Bellevue,11157
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Beusselstr.,11129
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Brandenbg.Tor,11193
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Bundesplatz,11130
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin-Charlottenbg.,10403
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Frankfurter A,11134
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Friedrichstr,10038
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Gesundbrunnen,11102
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Greifswald.St,11135
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Hackescher M.,11158
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin-Halensee,11204
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Hbf,11160
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Heidelberg.Pl,11136
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Hermannstr.,11137
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Hohenzollernd,11145
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Humboldthain,11147
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Innsbrucker P,11148
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Jannowitzbr.,11159
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Jul.-Leber-Br,11092
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Jungfernheide,11167
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Landsberger A,11151
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin-Lichtenberg,10036
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Messe N/ZOB,11166
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin-Neukölln,11207
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Nöldnerplatz,11161
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Nordbahnhof,11174
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Oranienb.Str.,11175
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Ostbahnhof,10255
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Ostkreuz,11162
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Potsdamer Pl,11118
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Prenzlauer Al,11180
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Savignyplatz,11163
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin-Schöneberg,11109
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Schönh.Allee,11182
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Sonnenallee,11186
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Storkower Str,11192
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Südkreuz,11113
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin-Tempelhof,11217
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin-Tiergarten,11164
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Treptower Pk,11117
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Warschauer St,11165
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin-Wedding,11220
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Westend,11196
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Westhafen,11197
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Westkreuz,11108
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Yorckstraße,11198
Berlin,TARIF,101,Berlin Friedrichstr,10038,Berlin Zoolg. Garten,10406
Bielefeld,CITY,101,Bielefeld Hbf,36,Bielefeld-Brackwede,48
Bielefeld,CITY,101,Bielefeld Hbf,36,Bielefeld Hbf,36
Bielefeld,CITY,101,Bielefeld Hbf,36,Bielefeld Ost,953
Bielefeld,CITY,101,Bielefeld Hbf,36,Bielefeld-Senne,956
Bielefeld,CITY,101,Bielefeld Hbf,36,Bielefeld-Sennestadt,5535
Bielefeld,CITY,101,Bielefeld Hbf,36,Bielefeld-Windelsbl.,6466
Bielefeld,CITY,101,Bielefeld Hbf,36,Brake(b Bielefeld),1118
Bielefeld,CITY,101,Bielefeld Hbf,36,Oldentrup,4673
Bielefeld,CITY,101,Bielefeld Hbf,36,Quelle,4908
Bielefeld,CITY,101,Bielefeld Hbf,36,Quelle-Kupferheide,4905
Bielefeld,CITY,101,Bielefeld Hbf,36,Ubbedissen,5930
Bingen(Rhein),TARIF,71,Bingen(Rhein) Hbf,39,Bingen(Rhein) Hbf,39
Bingen(Rhein),TARIF,71,Bingen(Rhein) Hbf,39,Bingen(Rhein) Stadt,976
Blumberg(Baden),TARIF,1,Blumberg-Zollhaus,6669,Blumberg-Riedöschin,1029
Blumberg(Baden),TARIF,1,Blumberg-Zollhaus,6669,Blumberg-Zollhaus,6669
Böblingen,CITY,101,Böblingen,1055,Böblingen,1055
Böblingen,CITY,101,Böblingen,1055,Goldberg(Württ),5201
Böblingen,CITY,101,Böblingen,1055,Hulb,3022
Böblingen,CITY,101,Böblingen,1055,Maichingen,3808
Böblingen,CITY,101,Böblingen,1055,Maichingen Nord,3834
Böblingen,CITY,101,Böblingen,1055,Sindelfingen,5574
Bochum,CITY,101,Bochum Hbf,41,Bochum-Ehrenfeld,1039
Bochum,CITY,101,Bochum Hbf,41,Bochum-Hamme,6710
Bochum,CITY,101,Bochum Hbf,41,Bochum Hbf,41
Bochum,CITY,101,Bochum Hbf,41,Bochum-Langendreer,358
Bochum,CITY,101,Bochum Hbf,41,Bochum-Langendreer W,4474
Bochum,CITY,101,Bochum Hbf,41,Bochum-Riemke,1035
Bochum,CITY,101,Bochum Hbf,41,Bochum West,6711
Bochum,CITY,101,Bochum Hbf,41,Wattenscheid,6226
Bochum,CITY,101,Bochum Hbf,41,Wattenscheid-Höntr.,6227
Bochum-Dahlhaus,CITY,101,Bochum-Dahlhausen,1038,Bochum-Dahlhausen,1038
Bonn,CITY,101,Bonn Hbf,44,Bonn-Bad Godesberg,1082
Bonn,CITY,101,Bonn Hbf,44,Bonn-Duisdorf,1084
Bonn,CITY,101,Bonn Hbf,44,Bonn-Endenich Nord,1088
Bonn,CITY,101,Bonn Hbf,44,Bonn Hbf,44
Bonn,CITY,101,Bonn Hbf,44,Bonn Helmholtzstr.,1081
Bonn,CITY,101,Bonn Hbf,44,Bonn-Mehlem,1085
Bonn,CITY,101,Bonn Hbf,44,Bonn UN Campus,1091
Bonn,TARIF,71,Bonn Hbf,44,Bonn-Bad Godesberg,1082
Bonn,TARIF,71,Bonn Hbf,44,Bonn Hbf,44
Bonn,TARIF,71,Bonn Hbf,44,Bonn-Mehlem,1085
Bonn,TARIF,71,Bonn Hbf,44,Bonn UN Campus,1091
Bonn-Beuel,CITY,101,Bonn-Beuel,1083,Bonn-Beuel,1083
Bonn-Beuel,CITY,101,Bonn-Beuel,1083,Bonn-Oberkassel,1086
Bottrop,CITY,101,Bottrop Hbf,47,Bottrop-Boy,1107
Bottrop,CITY,101,Bottrop Hbf,47,Bottrop Hbf,47
Bottrop,CITY,101,Bottrop Hbf,47,Bottrop-Vonderort,1108
Bräunlingen,TARIF,1,Bräunlingen Bahnhof,1119,Bräunlingen Bahnhof,1119
Bräunlingen,TARIF,1,Bräunlingen Bahnhof,1119,Bräunlingen Industr,1127
Braunschweig,CITY,101,Braunschweig Hbf,49,Braunschweig-Gliesm.,1134
Braunschweig,CITY,101,Braunschweig Hbf,49,Braunschweig Hbf,49
Bremen,CITY,101,Bremen Hbf,50,Bremen-Aumund,1187
Bremen,CITY,101,Bremen Hbf,50,Bremen-Blumenthal,1194
Bremen,CITY,101,Bremen Hbf,50,Bremen-Burg,1156
Bremen,CITY,101,Bremen Hbf,50,Bremen-Farge,1208
Bremen,CITY,101,Bremen Hbf,50,Bremen Hbf,50
Bremen,CITY,101,Bremen Hbf,50,Bremen-Hemelingen,1157
Bremen,CITY,101,Bremen Hbf,50,Bremen Kreinsloger,1204
Bremen,CITY,101,Bremen Hbf,50,Bremen-Lesum,1159
Bremen,CITY,101,Bremen Hbf,50,Bremen-Mahndorf,1160
Bremen,CITY,101,Bremen Hbf,50,Bremen Mühlenstr.,1202
Bremen,CITY,101,Bremen Hbf,50,Bremen Neustadt,1155
Bremen,CITY,101,Bremen Hbf,50,Bremen-Oberneuland,1161
Bremen,CITY,101,Bremen Hbf,50,Bremen-Oslebshausen,1162
Bremen,CITY,101,Bremen Hbf,50,Bremen-Schönebeck,1163
Bremen,CITY,101,Bremen Hbf,50,Bremen-Sebaldsbrück,1164
Bremen,CITY,101,Bremen Hbf,50,Bremen-St Magnus,1165
Bremen,CITY,101,Bremen Hbf,50,Bremen Turnerstraße,1206
Bremen,CITY,101,Bremen Hbf,50,Bremen-Vegesack,1166
Bremen,CITY,101,Bremen Hbf,50,Bremen-Walle,1167
Bremen,CITY,101,Bremen Hbf,50,Klinikum Bremen-Nord,1189
Bremerhaven,CITY,101,Bremerhaven Hbf,51,Bremerhaven Hbf,51
Bremerhaven,CITY,101,Bremerhaven Hbf,51,Bremerhaven-Lehe,1168
Bremerhaven,CITY,101,Bremerhaven Hbf,51,Bremerhaven-Wulsdorf,1170
Bremerhaven,TARIF,71,Bremerhaven Hbf,51,Bremerhaven Hbf,51
Bremerhaven,TARIF,71,Bremerhaven Hbf,51,Bremerhaven-Lehe,1168
Bretten,TARIF,1,Bretten,53,Bretten,53
Bretten,TARIF,1,Bretten,53,Bretten Schulzentrum,1144
Bretten,TARIF,1,Bretten,53,Bretten Stadtmitte,1152
Brigachtal,TARIF,1,Brigachtal Klengen,3336,Brigachtal Kirchdorf,3339
Brigachtal,TARIF,1,Brigachtal Klengen,3336,Brigachtal Klengen,3336
Bruchsal,TARIF,1,Bruchsal,55,Bruchsal,55
Bruchsal,TARIF,1,Bruchsal,55,Bruchsal Am Mantel,1214
Bruchsal,TARIF,1,Bruchsal,55,Bruchsal AVG,1195
Bruchsal,TARIF,1,Bruchsal,55,Bruchsal Bildungsz,1197
