Von,IBNR,Nach,IBNR,Tarifkilometer,Wegetext
Aachen Hbf,1,Essen Hbf,98,128,AC*E
Aachen Hbf,1,Euskirchen,100,112,AC*DN*HORR*K
Aachen Hbf,1,Eutingen im Gäu,101,525,AC*(F/KA)*S
Aachen Hbf,1,Falkenberg(Elster),10103,713,AC*(H/EF)*L
Aachen Hbf,1,Finnentrop,102,207,AC*W*HA
Aachen Hbf,1,Flensburg,103,695,AC*(OS/H)*FL
Aachen Hbf,1,Flöha,10108,736,AC*(H/JS)*C
Aachen Hbf,1,Forbach(fr),2021,372,AC*K*(LM*MZ/TR)*SB
Aachen Hbf,1,Forst(Lausitz),10111,814,AC*(H/EF)*CB
Aachen Hbf,1,Frankenberg(Eder),104,308,AC*K*MR
Aachen Hbf,1,Frankfurt(M)Flugh.,281,287,AC*K*FFMF
Aachen Hbf,1,Frankfurt(Main)Hbf,105,296,AC*K*(LM/KO)*F
Aachen Hbf,1,Frankfurt(Oder),10113,751,AC*H*MD*B*FF
Aachen Hbf,1,Frankfurt-Höchst,106,306,AC*K*(LM/KO)*F
Aachen Hbf,1,Freiberg(Sachs),10115,802,AC*(H/EF)*DD
Aachen Hbf,1,Freiburg(Brsg)Hbf,107,526,AC*K*KA*FR
Aachen Hbf,1,Freilassing,108,859,AC*(R/UL)*FREI
Aachen Hbf,1,Freudenstadt Hbf,110,473,AC*K*(F/WO)*OG*FDS
Aachen Hbf,1,Friedberg(Hess),111,277,AC*(SI/KO)*GI
Aachen Hbf,1,Friedrichshafen St.,112,665,AC*(UL/OG)*FN
Aachen Hbf,1,Fröndenberg,113,175,AC*W*HA*SCHW
Aachen Hbf,1,Frose,10119,581,AC*(H/NDH)*GUS
Aachen Hbf,1,Fulda,115,401,AC*K*F*FD
Aachen Hbf,1,Fürstenberg(Havel),10399,788,AC*DU*(HL/H*SN)*NZ
Aachen Hbf,1,Fürstenwalde(Spree),10120,716,AC*DU*H*MD*B
Aachen Hbf,1,Fürth(Bay)Hbf,114,537,AC*K*F*FUE
