Leitpunktkürzel,Tarifpunkt,IBNR,Verbund
FBE,Falkenberg(Elster),10103,VBB
FD,Fulda,115,RMV
FDS,Freudenstadt Hbf,110,VGF
FF,Frankfurt(Oder),10113,VBB
FFMF,Frankfurt(M)Flugh.,281,RMV
FFMN,Frankfurt-Niederrad,2050,RMV
FFMS,Frankfurt(Main)Süd,2041,RMV
FG,Freiberg(Sachs),10115,VMS
FH,Frankfurt-Höchst,106,RMV
FIN,Finnentrop,102,VGW
FINK,Finkenkrug,11541,VBB
FIW,Finsterwalde(Nl),11542,VBB
FKB,Frankenberg(Eder),104,NVV
FL,Flensburg,103,SHT
FLOE,Flöha,10108,VMS
FN,Friedrichshafen St.,112,BOD
FOER,Förderstedt,11549,MAR
FOFR,Forbach(fr),2021,
FOR,Forst(Lausitz),10111,VBB
FR,Freiburg(Brsg)Hbf,107,RVF
FREI,Freilassing,108,
FRIJ,Bad Friedrichsh Hbf,17,HNV
FROE,Fröndenberg,113,VRL
FROS,Frose,10119,MAR
FRT,Frankenthal Hbf,332,VRN
FRW,Bad Freienwalde,10017,VBB
FS,Freising,2078,MVV
FSTD,Frankfurt(M)Stadion,2040,RMV
FUB,Fürstenberg(Havel),10399,VBB
FUE,Fürth(Bay)Hbf,114,VGN
FUGR,Furth im Wald(Gr),3,
FW,Fürstenwalde(Spree),10120,VBB
G,Gera Hbf,10125,VMT
GAI,Gaimersheim,2171,
GAM,Gammertingen,2178,NAL
GAP,Garmisch-Partenk.,2187,
GC,Glauchau(Sachs),10129,VMS
GE,Gelsenkirchen Hbf,118,VRR
GEES,Geestgottberg,10121,
GELN,Gelnhausen,117,RMV
GELT,Geltendorf,119,MVV
GEM,Gemünden(Main),120,VVM
GER,Germersheim,376,KVV
GERO,Gerolstein,123,VRT
GERS,Gerstungen,11629,
GF,Gifhorn,185,VRB
GG,Groß Gerau,136,RMV
GHA,Geithain,10122,MDV
GHCB,Großenhain Cottb Bf,11749,VVO
GHW,Gensingen-Horrweiler,121,RNN
GI,Gießen,124,RMV
GLA,Gladbeck West,125,VRR
GLK,Geilenkirchen,2206,AVV
GNT,Genthin,10123,MAR
GO,Gokels,2319,SHT
GODE,Riedstadt-Goddelau,126,RMV
GOE,Göttingen,128,VSN
GOES,Gößnitz,10134,MDV
GOLM,Golm,13481,VBB
GP,Göppingen,127,VVS
GR,Görlitz,10131,VON
GRAB,Graben-Neudorf,131,KVV
GRAG,Grambow(Gr),10138,
GRAS,Grasellenbach,6731,VRN
GRB,Großbothen,10144,MDV
GREV,Grevenbroich,133,VRR
GRIM,Grimmenthal,10142,
GRK,Großkorbetha,10146,MDV
GRS,Gransee,11691,VBB
GRUE,Grünstadt,137,VRN
GRUI,Haan-Gruiten,138,VRR
GRUN,Grunow(Nl),10150,VBB
GRZ,Greiz,10140,
GS,Goslar,130,VRB
GSN,Güsen(b Genthin),10151,MAR
GT,Gütersloh Hbf,2461,OWL
GTH,Gotha,10136,VMT
GUE,Güstrow,10153,VVW
GUET,Güterglück,10154,MDV
GUNT,Baunatal-Guntershaus,140,NVV
GUS,Güsten,10152,MAR
GUT,Gutenfürst,11790,VVV
GWZ,Jena-Göschwitz,10133,VMT
GZ,Günzburg,139,
H,Hannover Hbf,152,GVH
HA,Hagen Hbf,142,VRR
HAGL,Hagenow Land,10156,
HAL,Halle(Saale)Hbf,10159,MDV
HALA,Halle-Ammendorf,10162,MDV
HALN,Halle-Neustadt,10160,MDV
HALT,Haltern am See,145,VRR
HAM,Hamm(Westf)Hbf,149,VRL
HAR,Hamburg-Harburg,147,HVV
HARZ,Bad Harzburg,19,VRB
HAST,Haste,2634,GVH
HAUS,Hausach,333,TGO
HB,Bremen Hbf,50,VBN
HBS,Halberstadt,10157,
HCH,Hechingen,2673,NAL
