Region,ASTe,NASTe
234,"Fröndenberg, Unna","Ardey, Fröndenberg-Fröm."
235,"Hamm(Westf)Hbf, Unna",Bönen
236,"Dortmund Hbf, Hagen Hbf, Schwerte(Ruhr),
Unna","Dortmund-Aplerbeck, Dortmund-Aplerbeck S, Dortmund-Hörde, Dortmund-Kirchhörde, Dortmund-Löttringh., Dortmund Signal Idu., Dortmund-Sölde,
Dortmund Tierpark, Herdecke, Holzwickede, Wittbräucke"
237,"Bayreuth Hbf, Neuenmarkt-Wirsberg","Bindlach, Harsdorf, Ramsenthal, Trebgast"
238,"Bielefeld-Brackwede, Paderborn Hbf","Bielefeld-Senne, Bielefeld-Sennestadt, Bielefeld-Windelsbl., Hövelhof, Hövelriege, Paderb.-Schl.Neuhaus, Paderborn Kassel.Tor, Paderborn Nord, Paderborn-
Sennelager, Schloß Holte"
239,"Backnang, Heilbronn Hbf, Ludwigsburg","Beilstein(Württ), Benningen(Neckar), Burgstall(Murr), Erdmannhausen, Favoritepark, Freiberg(Neckar), Großbottwar, Kirchberg(Murr), Kleinbottwar,
Marbach(Neckar), Murr, Oberstenfeld, Steinheim(Murr)"
240,"Dortmund Hbf, Witten Hbf","Dortmund-Barop, Dortmund-Kruckel, Witten-Annen Nord"
242,"Hamm(Westf)Hbf, Rheda-Wiedenbrück","Ahlen(Westf), Beckum-Neubeckum, Hamm-Heessen, Oelde"
243,"Bad Friedrichsh Hbf, Heilbronn Hbf, Schwäb.Hall-
Hessent","Affaltrach, Bad Friedrichshall-K, Bitzfeld, Bretzfeld, Ellhofen, Eschenau(Heilbronn), Heilbr.Finanz/Pfühl, Heilbr.Harmon/Fried, Heilbr.Indpl/H-R-Str, Heilbr.
NeckarT/Rath, Heilbr.Thr/Techschul, Heilbronn Kaufland, Heilbronn Sülmertor, Heilbronn Trappensee, Künzelsau, Neckarsulm, Neckarsulm Mitte,
Neckarsulm Nord, Neckarsulm Süd, Neuenstein, Öhringen-Cappel, Öhringen Hbf, Öhringen West, Scheppach, Schwäbisch Hall, Sülzbach, Sülzbach Schule,
Wackershofen, Waldenburg(Württ), Weinsberg, Weinsberg West, Weinsbg/Ellhofen Gew, Wieslensdorf, Willsbach"
244,Kaldenkirchen,Venlo(Gr)
245,"Bietigheim-Bissingen, Heilbronn Hbf","Besigheim, Kirchheim(Neckar), Lauffen(Neckar), Nordheim(Württ), Walheim(Württ)"
247,"Mönchengladbach Hbf, Neuss Hbf","Büttgen, Kleinenbroich, Korschenbroich, Mönchengladbach-Lü"
249,"Erfurt Hbf, Sömmerda","Erfurt Ost, Großrudestedt, Stotternheim"
250,"Finnentrop, Kreuztal","Eichen(Siegen), Kirchhundem, Kreuztal-Littfeld, Lennestadt-Altenhund, Lennestadt-Grevenbr., Lennestadt-Meggen, Welschen Ennest"
253,"Kaiserslautern Hbf, Landau(Pfalz)Hbf,
Rohrbach(Saar)","Albersweiler(Pfalz), Annweiler am Trifels, Annweiler-Sarnstall, Annweiler West, Bierbach, Blieskastel-Lautzk., Bruchweiler, Bundenthal-Rumbach, Burgalben,
Busenberg-Schindhard, Contwig, Dahn, Dahn Süd, Dellfeld, Dellfeld Ort, Einöd(Saar), Galgenschanze, Godramstein, Hassel(Saar), Hauenstein(Pfalz),
Hauenstein Mitte, Hinterweidenthal, Hinterweidenthal Ort, Hinterweidenthal Ost, Hohenecken, Höhmühlbach, Landau(Pfalz)Süd, Landau(Pfalz)West,
Münchweiler(Rodalb), Pirmasens Hbf, Pirmasens Nord, Rieschweiler, Rinnthal, Rodalben, Schopp, Siebeldingen-Birkw., Stambach, Steinalben,
Thaleischweiler-Fr., Waldfischbach, Wilgartswiesen, Würzbach(Saar), Zweibrücken Hbf, Zweibrücken-Roseng."
254,"Babenhausen(Hess), Darmstadt Hbf, Mosbach-
Neckarelz, Neckargemünd, Rödermark-Ob.Roden","Altheim(Hess), Babenhausen Langst., Bad König, Bad König Zell, Beerfelden Hetzbach, Binau, Darmstadt-Kranichst., Darmstadt Nord, Darmstadt Ost,
Darmstadt TU-Lichtw., Dieburg, Eberbach, Eppertshausen, Erbach(Odenw), Erbach(Odenw) Nord, Groß-Umstadt Kl-Um., Groß-Umstadt Mitte, Groß-Umstadt
Wiebel, Hergershausen, Hesseneck Kailbach, Hesseneck Schöllenb, Hirschhorn(Neckar), Höchst(Odenw), Höchst Hetschbach, Höchst Mümling-Gru, Lindach,
Messel, Michelstadt, Mühltal, Münster(Hessen), Neckargemünd Altst., Neckargerach, Neckarhausen b Necka, Neckarsteinach, Ober Ramstadt, Otzberg
Lengfeld, Reinheim(Odenw), Zwingenberg(Baden)"
255,"Karlsruhe Hbf, Wörth(Rhein)","Bad Herrenalb, Bad Herrenalb Kulle., Busenbach, Eggenstein, Ettlingen, Etzenrot, Fischweier, Frauenalb-Schielberg, Hochstetten, Ittersbach, Ittersbach
Industrie, Ittersbach Rathaus, Karlsruhe Albtal. S1, Karlsruhe-Knielingen, Karlsruhe-Mühlburg, Karlsruhe West, KIT Campus Nord, Langensteinbach,
Langensteinbach St.B, Leopoldshafen, Linkenheim, Marxzell, Maxau, Maximiliansau Eisenb, Maximiliansau West, Reichenbach, Reichenbach Kurpark,
Schiesshüttenäcker, Spielberg"
256,"Schwelm, Solingen Hbf, Wuppertal Hbf","Remscheid-Güldenw., Remscheid Hbf, Remscheid-Lennep, Remscheid-Lüttringh, Schwelm West, Solingen Grünewald, Solingen Mitte, Solingen-Schaberg,
Wuppertal-Barmen, Wuppertal-Langerfeld, Wuppertal-Oberbarmen, Wuppertal-Ronsdorf, Wuppertal-Unterbarm."
257,"Au(Sieg), Westerburg","Altenkirchen(Ww), Breitscheidt(Altenk), Büdingen(Westerw), Enspel, Geilhausen, Hachenburg, Hattert, Hohegrete, Ingelbach, Kloster Marienthal,
Langenhahn, Nieder Ingelbach, Nistertal-Bad Marien, Obererbach, Rotenhain, Unnau-Korb"
259,"Plattling, Straubing","Stephansposching, Straßkirchen"
260,"Brilon Wald, Fröndenberg","Arnsberg(Westf), Bestwig, Bigge, Freienohl, Hallenberg, Meschede, Neheim-Hüsten, Oeventrop, Olsberg, Siedlinghausen, Silbach, Wickede(Ruhr),
Winterberg(Westf)"
261,Passau Hbf,"Freyung, Grillaberg, Haidmühle, Waldkirchen(Nby)"
262,"Graben-Neudorf, Schifferstadt, Wörth(Rhein)","Bellheim Bf, Bellheim Mühlbuckel, Berghausen(Pfalz), Germersheim, Germersheim Mitte/R., Germersheim Süd/N., Graben-Neudorf Nord,
Heiligenstein(Pfalz), Huttenheim, Jockgrim Bf, Lingenfeld, Philippsburg(Baden), Rheinsheim, Rheinzabern Bf, Rheinzabern Rappeng, Rheinzabern Römerst,
Rülzheim Bf, Rülzheim Frz.Zentr., Schifferstadt Süd, Sondernheim, Speyer Hbf, Speyer Nord-West, Wörth(Rh.)Zügelstr"
264,"Ingolstadt Hbf, Landshut(Bay)Hbf,
Mühldorf(Oberbay), München Hbf, München Ost,
München-Pasing, Rosenheim","Altenerding, Altomünster, Ampfing, Arnbach, Aßling(Oberbay), Au(b Bad Aibling), Aufhausen(b Erding), Aying, Baar-Ebenhausen, Bachern, Bad Aibling, Bad
Aibling Kurpark, Bad Feilnbach, Baierbrunn, Baldham, Bruckberg, Bruckmühl, Buchenhain, Dachau Bahnhof, Dachau Stadt, Deisenhofen, Dorfen Bahnhof,
Dürrnhaar, Ebenhausen-Schäftl., Ebersberg(Oberbay), Eching, Edling, Eglharting, Erding, Erdweg, Fasanenpark, Feldkirchen(b M), Feldolling, Forsting,
Freising, Furth(b Deisenhofen), Gars(Inn), Grafing Bahnhof, Grafing Stadt, Gronsdorf, Großhelfendorf, Großhesselohe Isart, Großkarolinenfeld,
Grub(Oberbay), Gündlkofen, Haar, Hallbergmoos, Hebertshausen, Heimstetten, Heufeld, Heufeldmühle, Hinrichssegen, Hohenbrunn, Höhenkirchen-Sbrunn,
Hohenschäftlarn, Höllriegelskreuth, Holzkirchen, Hörlkofen, Icking, Ismaning, Jettenbach, Kirchseeon, Kleinberghofen, Kolbermoor, Kreuzstraße,
Langenbach(Oberbay), Lohhof, Markt Indersdorf, Markt Schwaben, Marzling, Mittergars, Moosburg, München-Allach, München-Berg a Laim, München-
Daglfing, München Donnersb., München-Englschalk., München-Fasanerie, München-Fasangarten, München-Feldmoching, München Flug Besuch, München
Flughafen T, München-Giesing, München Hackerbr., München Harras, München Heimeranpl., München Hirschgart., München-Johannesk., München-Karlsfeld,
München-Laim, München Leuchtenb., München-Mittersend., München-Moosach, München-Neuperl.S, München-Obermenzing, München-Perlach, München-
Riem, München Siemensw., München-Solln, München St Martin., München-Trudering, München-Untermenzin, Neubiberg, Neufahrn(b Freising), Niederroth,
Oberschleißheim, Ostermünchen, Ottenhofen(Oberbay), Otterfing, Ottobrunn, Paindorf, Peiß, Petershausen(Obb), Pfaffenhofen(Ilm), Poing, Pullach,
Pulling(b Freising), Ramerberg, Reichertshausen(Ilm), Rohrbach(Ilm), Röhrmoos, Rosenheim Aicherpark, Rosenheim Hochschule, Rott(Inn), Sauerlach,
Schechen, Schwabhausen(b Dach), Schwindegg, Soyen, Steinhöring, St Koloman, Taufkirchen, Thann-Matzbach, Tulling, Unterföhring, Unterhaching,
Unterschleißheim, Vaterstetten, Vierkirchen-Esterhof, Wächterhof, Waldkraiburg-Kraib, Walpertskirchen, Wasserburg(Inn)Bf, Weidenbach, Westerham,
Wolfratshausen, Wolnzach Markt, Zorneding"
265,"Landshut(Bay)Hbf, Plattling","Ahrain, Dingolfing, Landau(Isar), Loiching, Niederviehbach, Schwaigen, Wallersdorf, Wörth(Isar)"
266,"Calw, Eutingen im Gäu, Freudenstadt Hbf, Horb","Altensteig, Bad Teinach-Neubula., Bittelbronn, Dornstetten, Dornstetten-Aach, Eutingen Nord, Grüntal/Wittlensw., Hochdorf(b Horb), Horb-Heiligenfeld,
Nagold, Nagold-Iselshausen, Nagold Stadtmitte, Nagold-Steinberg, Schopfloch(Freudst), Wildberg(Württ)"
268,"Gera Hbf, Herlasgrün, Mehltheuer,
Ronneburg(Thür), Triptis","Adorf(Vogtl), Bad Brambach, Bad Elster, Barthmühle, Berga(Elster), Elsterberg, Elsterberg-Kunstseid, Gera Süd, Gera-Zwötzen, Greiz, Greiz-Dölau,
Hohenleuben, Hundsgrün, Jocketa, Jößnitz, Kürbitz, Loitsch-Hohenleuben, Neumühle(Elster), Niederpöllnitz, Oelsnitz(Vogtl), Pirk, Plauen(V)-Straßberg,
Plauen(Vogtl) Mitte, Plauen(Vogtl) ob Bf, Plauen(Vogtl)West, Raun, Rentzschmühle, Ruppertsgrün, Schüptitz, Sohl, Syrau, Triebes, Weida, Weida Altstadt,
Weida Mitte, Weischlitz, Wolfsgefärth, Wünschendorf, Wünschendorf Nord, Zeulenroda unt Bf"
269,"Herlasgrün, Neumark(Sachs)","Limbach(Vogtl), Netzschkau, Reichenbach(V) o Bf"
270,"Au(Sieg), Siegburg/Bonn","Blankenberg(Sieg), Dattenfeld(Sieg), Eitorf, Hennef(Sieg), Hennef im Siegbogen, Herchen, Merten(Sieg), Rosbach(Sieg), Schladern(Sieg)"
271,"Au(Sieg), Betzdorf(Sieg)","Etzbach, Niederhövels, Scheuerfeld(Sieg), Wissen(Sieg)"
272,"Betzdorf(Sieg), Siegen Hbf","Brachbach, Eiserfeld(Sieg), Freusburg Siedlung, Kirchen, Mudersbach, Niederschelden, Niederschelden Nord, Schwelbel"
273,"Kreuztal, Siegen Hbf","Siegen-Geisweid, Siegen-Weidenau"
274,"Betzdorf(Sieg), Dillenburg, Siegen Hbf","Allendorf(Dillkr), Altenseelbach, Burbach(Kr Siegen), Dillbrecht, Grünebacherhütte, Grünebach Ort, Haiger, Haiger Obertor, Herdorf, Holzhausen(Kr Sieg.),
Königsstollen, Neunkirchen(Kr Sieg), Niederdresselndorf, Rodenbach(Dillkr), Sassenroth, Sechshelden, Struthütten, Wahlbach (Kr Siegen), Wilnsdorf-
Rudersdorf, Würgendorf, Würgendorf (Ort)"
276,"Karlsruhe Hbf, Rastatt","Bietigheim(Baden), Durmersheim, Forchheim(Karlsruhe), Ötigheim"
277,"Bad Friedrichsh Hbf, Mosbach-Neckarelz","Gundelsheim(Neckar), Haßmersheim, Neckarzimmern, Offenau"
278,"Bad Friedrichsh Hbf, Osterburken","Adelsheim Ost, Herbolzheim(Jagst), Möckmühl, Neudenau, Roigheim, Sennfeld, Siglingen, Untergriesheim, Züttlingen"
279,"Friedrichshafen St., Lindau-Insel, Lindau-Reutin","Enzisweiler, Eriskirch, Friedrichshafen Ost, Kressbronn, Langenargen, Lindau-Aeschach, Nonnenhorn, Wasserburg(Bodensee)"
280,"Bad Kreuznach, Bingen(Rhein) Hbf","Bretzenheim(Nahe), Langenlonsheim, Laubenheim(Nahe), Münster-Sarmsheim"
281,"Leer(Ostfriesl), Oldenburg(Oldb)Hbf","Apen, Augustfehn, Bad Zwischenahn, Oldenburg-Wechloy, Westerstede-Ocholt"
282,"Plochingen, Reutlingen Hbf, Ulm Hbf","Bad Urach, Bad Urach Eklinik, Bad Urach Wasserfall, Bempflingen, Brucken, Dettingen(Teck), Dettingen Freibad, Dettingen Gsaidt, Dettingen Lehen,
Dettingen-Mitte, Kirchheim(Teck), Kirchheim(Teck)-Ötl, Kirchheim(Teck)Süd, Merklingen - S. Alb, Metzingen(Württ), Metzingen-Neuhausen, Nürtingen,
Oberboihingen, Oberlenningen, Owen(Teck), Reutlingen-Sondelf., Unterlenningen, Wendlingen(Neckar), Wernau(Neckar)"
284,"Cölbe, Treysa","Anzefahr, Bürgeln, Kirchhain(Bz Kassel), Neustadt(Kr Marburg), Schwalmstadt-Wiera, Stadtallendorf"
287,Flensburg,Flensburg(Gr)
288,"Flensburg, Kiel Hbf, Rendsburg","Achterwehr, Bredenbek, Eckernförde, Felde, Gettorf, Husby, Kiel-Hassee CITTI-P., Kiel-Russee, Kronshagen, Melsdorf, Rieseby, Schleibr. Nord-Süd,
Schülldorf, Sörup, Suchsdorf, Süderbrarup"
289,"Flensburg, Husum, Rendsburg","Jübek, Owschlag, Schleswig, Tarp"
293,"Bebra, Eichenberg","Bad Sooden-Allendorf, Eschwege, Eschwege-Niederhone, Sontra, Wehretal-Reichens."
294,"Bebra, Malsfeld","Altmorschen, Heinebach, Lispenhausen, Malsfeld-Beiseförth, Rotenburg a.d. Fulda"
296,"Gerolstein, Koblenz Hbf, Trier Hbf","Auw an der Kyll, Bengel, Birresborn, Bitburg-Erdorf, Bullay(DB), Cochem(Mosel), Daufenbach, Densborn, Ediger-Eller, Ehrang, Ehrang Ort, Föhren,
Hatzenport, Hetzerath, Hüttingen, Kattenes, Klotten, Kobern-Gondorf, Koblenz-Güls, Koblenz-Moselweiß, Kordel, Kyllburg, Lehmen, Löf, Moselkern,
Müden(Mosel), Mürlenbach, Neef, Pfalzel, Philippsheim, Pommern(Mosel), Quint, Salmtal, Schweich(DB), Sehlem(Kr Wittlich), Speicher, St Thomas, Treis-
Karden, Trier Mäusheckerweg, Ürzig(DB), Usch-Zendscheid, Winningen(Mosel), Wittlich Hbf"
297,"Bad Hersfeld, Bebra",Ludwigsau-Friedlos
298,"Bischofswerda, Zittau","Ebersbach(Sachs), Eibau, Mittelherwigsdorf, Neugersdorf, Neukirch(Lausitz)Ost, Neukirch(Lausitz)W, Neusalza-Spremberg, Niederoderwitz, Oberoderwitz,
Oberoderwitz Oberd, Putzkau, Rumburk(Gr), Schirgisw-Kirschau, Schmölln(Ol), Sohland, Taubenheim(Spree), Wilthen"
299,"Aachen Hbf, Düren, Rheydt Hbf","Aachen-Rothe Erde, Aachen Schanz, Aachen West, Alsdorf-Annapark, Alsdorf-Busch, Alsdorf-Kellersberg, Alsdorf-Mariadorf, Alsdorf-Poststraße, Brachelen,
Eilendorf, Erkelenz, Eschweiler Hbf, Eschweiler-Nothberg, Eschweiler-St.Jöris, Eschweiler-Talbahnh., Eschweiler-Weisweil., Eschweiler-West, Geilenkirchen,
Heinsberg, Heinsberg-Dremmen, Heinsberg-Horst, Heinsberg-Kreishaus, Heinsberg-Oberbruch, Heinsberg-Porselen, Heinsberg-Randerath, Herrath,
Herzogenrath, Herzogenrath(Gr), Herzogenrath-A-Merk., Herzogenrath-Aug-S-P, Hückelhoven-Baal, Kohlscheid, Langerwehe, Lindern, Stolberg(Rheinl)Hbf,
Stolberg-Altstadt, Stolberg-MühlenerBf, Stolberg-Rathaus, Stolberg-Schneidmü, Übach-Palenberg, Wickrath"
300,"Düren, Horrem","Buir, Merzenich, Sindorf"
304,"Ascheberg(Holst), Lübeck Hbf, Oldenburg(Holst)","Bad Malente-Gremsmü, Bad Schwartau, Eutin, Haffkrug, Lensahn, Neustadt(Holst), Pansdorf, Plön, Pönitz(Holst), Scharbeutz, Sierksdorf, Timmendorfer
Strand"
305,"Herrnburg, Lübeck Hbf",Lübeck St Jürgen
306,Lübeck Hbf,"Lübeck Dän.IKEA, Lübeck-Kücknitz, Lübeck-Travem.Hafen, Lübeck-Travem.Skan., Lübeck-Travem.Str."
308,"Neumünster, Rendsburg",Nortorf
309,"Mühldorf(Oberbay), Simbach(Inn)","Julbach, Marktl, Neuötting, Töging(Inn)"
310,"Augsburg Hbf, Geltendorf, Ingolstadt Hbf,
München-Pasing","Aichach, Althegnenberg, Augsburg Haunstett., Augsburg-Hochzoll, Brunnen(Oberbay), Dasing, Egling, Esting, Friedberg(Augsburg), Gernlinden, Gröbenzell,
Haspelmoor, Kissing, Maisach, Malching(Oberbay), Mammendorf(MVV), Merching, Mering, Mering-St Afra, München-Langwied, München-Lochhausen,
Obergriesbach, Olching, Paar, Radersdorf, Schmiechen(Schwab), Schrobenhausen, Walleshausen"
311,"Boppard Hbf, Koblenz Hbf","Rhens, Spay"
312,"Borsdorf(Sachs), Döbeln Hbf","Beucha, Grimma ob Bf, Großbothen, Großsteinberg, Klosterbuch, Leisnig, Naunhof, Tanndorf, Westewitz-Hochweitz"
314,"Bayreuth Hbf, Ingolstadt Hbf, Kirchenlaibach,
Neukirchen(b Sulzb), Nürnberg Hbf, Regensburg
Hbf, Treuchtlingen, Weiden(Oberpf)","Abensberg, Adelschlag, Allersberg(Rothsee), Altdorf(b Nürnberg), Altdorf West, Auerbach(Oberpf), Bad Abbach, Batzhausen, Behringersdorf, Beilngries,
Beratzhausen, Berching, Burgthann, Creußen(Oberfr), Deining(Oberpf), Deuerling, Dietfurt(Altmühl), Dollnstein, Eichstätt Bahnhof, Eichstätt Stadt,
Eitensheim, Engelmannsreuth, Ernsgaden, Eschenbach(Oberpf), Etterzhausen, Etzelwang, Feucht, Feucht-Moosbach, Feucht Ost, Fischbach(Nürnberg),
Freystadt(Oberpf), Gaimersheim, Grafenwöhr, Greißelbach, Gundelshausen, Happurg, Hartmannshof, Hasenheide, Hedersdorf, Henfenfeld, Hersbruck(l
Pegnitz), Hersbruck(r Pegnitz), Hohenstadt(Mittelfr), Ingolstadt Audi, Ingolstadt Nord, Kelheim, Kemnath-Neustadt, Kinding(Altmühltal),
Kirchenthumbach, Laaber, Lauf(links Pegnitz), Lauf(rechts Pegnitz), Lauf West, Ludersheim, Ludwigshöhe, Mausheim, Mimberg, Mühlhausen(Sulz),
Münchsmünster, Neuenreuth(b Creuß), Neuhaus(Pegnitz), Neumarkt(Oberpf), Neunkirchen a Sand, Neustadt(Donau), Nürnberg-Dürrenhof, Nürnberg-
Dutzendt., Nürnberg-Erlensteg., Nürnberg Frankensta, Nürnberg-Gleißh., Nürnberg-Laufamholz, Nürnberg-Mögeldorf, Nürnberg Ost, Nürnberg Ostring,
Nürnberg-Rehhof, Obereichstätt, Oberferrieden, Ochenbruck, Ottensoos, Pappenheim, Parsberg, Pegnitz, Plankstetten, Poikam, Pollanten, Pölling,
Pommelsbrunn, Postbauer-Heng, Pressath, Ranna Ort, Rebdorf-Hofmühle, Regensburg-Prüfen., Reichenschwand, Rollhofen, Röthenbach(Pegnitz),
Röthenbach-Seespitz, Röthenbach-Steinb, Rückersdorf(Mfr), Rupprechtstegen, Saal(Donau), Schnabelwaid, Schnaittach Markt, Schwaig, Schwarzenbach(b
Pre), Sengenthal, Seubersdorf, Simmelsdorf-Hüttenb, Sinzing, Solnhofen, Speikern, Tauberfeld, Trabitz, Undorf, Velden(b Hersbruck), Vohburg,
Vorbach(Oberpf), Vorra(Pegnitz), Wasserzell(b Eichst), Winkelhaid"
315,"Bingen(Rhein) Hbf, Boppard Hbf","Bacharach, Boppard-Bad Salzig, Boppard-Hirzenach, Niederheimbach, Oberwesel, St Goar, Trechtingshausen"
316,"Britz, Löwenberg(Mark)","Alt Hüttendorf, Bergsdorf, Friedrichswalde(Ew), Golzow(Eberswalde), Götschendorf, Hammelspring, Joachimsthal, Joachimsthal Kaiserb, Milmersdorf,
Ringenwalde(Templin), Templin, Templin-Ahrensdorf, Templin Stadt, Vogelsang(Kr Oberh.), Zehdenick(Mark), Zehdenick-Neuhof"
317,"München Hbf, München Ost","München Isartor, München Karlsplatz, München Marienplatz, München Rosenh.Pl."
318,"Rosenheim, Traunstein","Aschau(Chiemgau), Bad Endorf, Bergen(Oberbay), Bernau a Chiemsee, Krottenmühl, Marquartstein, Mietenkam, Prien am Chiemsee, Rimsting, Staudach-
Grassau, Übersee, Umrathshausen Ort, Urschalling, Vachendorf"
320,"Limburg(Lahn), Montabaur, Westerburg","Berzhahn, Diez Ost, Dreikirchen, Elz(Limburg/Lahn), Elz(Limburg/Lahn) S, Frickhofen, Girod, Goldhausen, Hadamar, Niedererbach, Niederhadamar,
Niederzeuzheim, Staffel, Steinefrenz, Willmenrod, Wilsenroth"
321,"Montabaur, Siershahn","Dernbach(Westerw), Wirges"
322,"Dillenburg, Herborn(Dillkr)","Burg(Dillkr) Nord, Niederscheld(Dillk)S"
323,"Kufstein, Rosenheim","Brannenburg, Flintsbach, Kiefersfelden, Oberaudorf, Raubling"
325,"Friedberg(Hess), Gießen, Nidda","Bad Salzhausen, Beienheim, Berstadt-Wohnbach, Borsdorf(Hess), Dorheim(Wetterau), Echzell, Garbenteich, Geiß-Nidda, Gettenau-Bingenheim, Gießen
Erdkaut Weg, Grund Schwalheim, Häuserhof, Hungen, Inheiden, Langsdorf(Oberhess), Lich(Oberhess), Melbach, Ober Widdersheim, Reichelsheim(Wett),
Trais-Horloff, Watzenborn-Steinberg, Weckesheim, Wölfersheim-Södel"
326,"Delmenhorst, Oldenburg(Oldb)Hbf","Berne, Bookholzberg, Brake(Unterweser), Elsfleth, Hoykenkamp, Hude, Kirchhammelwarden, Kleinensiel, Nordenham, Rodenkirchen(Oldb), Schierbrok,
Wüsting"
327,"Eisenach, Gotha","Friedrichroda, Fröttstädt, Hörselgau, Mechterstädt, Reinhardsbrunn-Fried, Sättelstädt, Schönau(Hörsel), Waltershausen, Waltershausen Schnep, Wutha"
329,"Burg-u.Ndr Gemünden, Gießen","Gießen Licher Str, Göbelnrod, Großen Buseck, Grünberg(Oberhess), Lehnheim, Mücke(Hess), Nieder Ohmen, Reiskirchen(Kr Gi), Saasen"
330,"Basel Bad Bf, Schaffhausen","Albbruck, Bad Säckingen, Beringen Bad Bf, Beringerfeld, Beuggen, Dogern, Erzingen(Baden), Grenzach, Grießen(Baden), Herten(Baden), Lauchringen,
Lauchringen West, Laufenburg(Baden), Laufenburg(Baden)Ost, Murg(Baden), Neuhausen Bad Bf, Neunkirch, Rheinfelden(Baden), Schwörstadt, Stühlingen,
Tiengen(Hochrhein), Trasadingen, Waldshut, Wehr-Brennet, Weizen, Wilchingen-Hallau, Wutöschingen, Wyhlen"
331,"Friedberg(Hess), Gießen","Bad Nauheim, Butzbach, Großen Linden, Kirch Göns, Lang Göns, Ostheim(b Butzbach)"
333,Freiberg(Sachs),"Berthelsdorf(Erzgeb), Berthelsdorf Ort, Bienenmühle, Clausnitz, Holzhau, Holzhau Skilift, Lichtenberg(Erzgeb), Mulda(Sachs), Nassau(Erzgeb), Rechenberg,
Rechenberg Schule"
334,"Bad Bentheim(Gr), Leer(Ostfriesl), Rheine","Aschendorf, Bad Bentheim, Dörpen, Geeste, Haren(Ems), Lathen, Leschede, Lingen(Ems), Meppen, Neuenhaus, Neuenhaus Süd, Nordhorn, Nordhorn-Blanke,
Papenburg(Ems), Quendorf, Salzbergen, Schüttorf"
336,"Gelnhausen, Nidda, Nidderau","Altenstadt(Hess), Altenstadt-Höchst, Altenstadt-Lindheim, Bleichenbach(Oberh), Büches-Düdelsheim, Büdingen(Oberhess), Effolderbach, Glauburg-
Glauberg, Glauburg-Stockheim, Lieblos, Mittel Gründau, Nidderau-Eichen, Ranstadt"
338,"Herzberg(Harz), Seesen","Gittelde/Bad Grund, Herzberg Schloß, Münchehof(Harz), Osterode a. H. Leege, Osterode a. H. Mitte"
339,Naumburg(Saale)Hbf,Naumburg(Saale)Ost
340,"Altenbeken, Warburg(Westf)",Willebadessen
342,"Weißenfels, Zeitz","Deuben(Zeitz), Langendorf, Luckenau, Prittitz, Teuchern, Theißen, Weißenfels West"
343,"Fulda, Gelnhausen, Gemünden(Main),
Mellrichstadt Bf, Schweinfurt Hbf","Altengronau, Bad Bocklet, Bad Brückenau, Bad Brückenau Stbad, Bad Kissingen, Bad Neustadt(Saale), Bad Soden-Salmünst., Burglauer, Burgsinn, Diebach,
Ebenhausen(Unterfr), Eckarts, Elfershausen-Trimb., Euerdorf, Flieden, Gräfendorf, Haitz-Höchst, Hammelburg, Hammelburg Ost, Heustreu Bahnhof, Jossa,
Kleingemünden, Michelaubrück, Mittelsinn, Morlesau, Münnerstadt, Neuhof(Kr Fulda), Niederlauer, Oberbach, Oberriedenberg, Obersinn, Oberstreu,
Oberwerrn, Oerlenbach, Poppenhausen, Rieneck, Römershag, Rottershausen, Rupboden, Schlüchtern, Steinau(Straße), Sterbfritz, Unsleben, Wächtersbach,
Weickersgrüben, Westheim-Langendorf, Wildflecken, Wirtheim, Wolfsmünster, Zeitlofs"
344,"Burg-u.Ndr Gemünden, Lauterbach(Hess)Nord","Alsfeld(Oberhess), Ehringshausen(Oberh), Renzendorf, Wallenrod, Zell-Romrod"
345,Münster(Westf)Hbf,Münster/Os.Flughaf.
346,"Crailsheim, Lauda, Osterburken","Bad Mergentheim, Blaufelden, Boxberg-Wölchingen, Creglingen, Edelfingen, Elpersheim, Eubigheim, Igersheim, Königshofen(Baden), Laudenbach(Württ),
Markelsheim, Niederstetten, Reinsbronn, Rosenberg(Baden), Rot am See, Satteldorf, Schäftersheim, Schrozberg, Wallhausen(Württ), Weikersheim"
347,"Karlsruhe Hbf, Rastatt","Bruchhausen(b Ettl), Ettlingen West, Malsch, Malsch Süd, Muggensturm, Muggensturm Badesee"
348,"Haltern am See, Recklinghausen Hbf",Marl-Sinsen
349,"Graben-Neudorf, Karlsruhe Hbf","Blankenloch, Friedrichstal(Baden), Karlsruhe-Hagsfeld"
351,"Herne, Recklinghausen Hbf, Wanne-Eickel Hbf",Recklinghausen Süd
352,"Halberstadt, Magdeburg Hbf, Schönebeck(Elbe)","Beyendorf, Dodendorf, Hadmersleben, Langenweddingen, Magdeburg-Buckau, Magdeburg Hasselpl, Magdeburg-Salbke, Magdeburg SKET Ipark, Magdeburg
Südost, Nienhagen(Halberst), Oschersleben(Bode), Osterweddingen, Schönebeck-Frohse"
353,"Dortmund Hbf, Hamm(Westf)Hbf","Bönen-Nordbögge, Dortmund-Kurl, Dortmund-Scharnhorst, Kamen, Kamen-Methler"
354,"Emmerich, Wesel","Empel-Rees, Haldern(Rheinl), Mehrhoog, Millingen(b Rees), Praest, Wesel Feldmark"
