Region,ASTe,NASTe
51,"Frankfurt-Höchst, Limburg(Lahn), Mainz-
Bischofsheim, Mainz Hbf, Weilburg, Wiesbaden-
Biebrich, Wiesbaden Hbf","Arfurt(Lahn), Aumenau, Auringen-Medenbach, Bad Camberg, Eddersheim, Eppstein, Eppstein-Bremthal, Eschhofen, Ff-Höchst Farbwerke, Flörsheim(Main),
Frankfurt-Sindlingen, Frankfurt-Zeilsheim, Fürfurt, Gräveneck, Hattersheim(Main), Hochheim(Main), Hofheim(Taunus), Idstein(Taunus), Kerkerbach,
Kriftel, Lindenholzhausen, Lorsbach, Mainz-Kastel, Mainz Nord, Niederbrechen, Niederjosbach, Niedernhausen(Ts), Niederselters, Oberbrechen, Runkel,
Villmar, Wiesbaden-Erbenheim, Wiesbaden-Igstadt, Wiesbaden Ost, Wörsdorf"
52,Fürth(Bay)Hbf,"Alte Veste, Cadolzburg, Egersdorf, Fürth-Dambach, Fürth Westvorstadt, Weiherhof, Zirndorf, Zirndorf Kneippallee"
53,Kaufering,"Landsberg(L)Schule, Landsberg(Lech)"
54,"Bremen Hbf, Delmenhorst","Bremen Neustadt, Heidkrug"
55,"Freilassing, Traunstein","Lauter(Oberbay), Niederstraß, Rückstetten, Teisendorf"
56,"Brandenburg Hbf, Genthin","Kirchmöser, Wusterwitz"
57,"Fürth(Bay)Hbf, Schweinfurt Hbf, Steinach(b
Rothenb), Würzburg Hbf","Adelsdorf(Mittelfr), Bad Windsheim, Bergtheim, Buchbrunn-Mainstock., Burgbernheim, Dachsbach, Demantsfürth-Ühlf., Dettelbach Bahnhof, Diespeck,
Dietersheim, Dottenheim, Emskirchen, Eschenbach(b M.Erlb), Eßleben, Fürth-Burgfarrnbach, Fürth-Unterfürberg, Hagenbüchach, Hardhof, Illesheim,
Iphofen, Ipsheim, Kitzingen, Langenfeld(Mittelfr), Langenzenn, Laubendorf, Mainbernheim, Markt Bibart, Markt Erlbach, Neustadt(Aisch)Bahnh,
Neustadt(Aisch)Mitte, Neustadt(Aisch)Stadt, Ottenhofen-Bergel, Puschendorf, Raindorf, Rottendorf, Seligenstadt(b Wü), Siegelsdorf, Waigolshausen,
Wilhermsdorf, Wilhermsdorf Mitte"
58,"Hesepe, Osnabrück Hbf, Rheine","Achmer, Bramsche, Halen, Hörstel, Ibbenbüren, Ibbenbüren-Esch, Ibbenbüren-Laggenb., Osnabrück Altstadt"
59,"Buchloe, Kempten(Allgäu)Hbf","Aitrang, Beckstetten, Betzigau, Biessenhofen, Ebenhofen, Füssen, Günzach, Kaufbeuren, Lengenwang, Leuterschach, Marktoberdorf, Marktoberdorf Schule,
Ruderatshofen, Seeg, Weizern-Hopferau, Wildpoldsried"
60,"Chemnitz Hbf, Döbeln Hbf","Altmittweida, Chemnitz Kinderwald, Erlau(Sachs), Limmritz(Sachs), Mittweida, Oberlichtenau, Ottendorf(Mittweida), Schweikershain, Steina, Waldheim"
61,"Landshut(Bay)Hbf, Regensburg Hbf, Straubing","Eggmühl, Ergoldsbach, Geiselhöring, Hagelstadt, Kläham, Köfering, Laberweinting, Mallersdorf, Mirskofen, Neufahrn(Niederbay), Niederlindhart,
Oberlindhart, Obertraubling, Perkam, Radldorf(Niederbay), Regensburg-Burgwein., Sallach, Steinrain, Sünching"
62,"Kempten(Allgäu)Hbf, Memmingen","Bad Grönenbach, Dietmannsried, Kempten(Allgäu)Ost, Woringen(Schwab)"
